Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BPCL,EQ,1-Jan-15,646,648.9,657.5,642.2,654.45,654.2,650.33,482167,313566958.2,9126,128226,26.59
BPCL,EQ,2-Jan-15,654.2,650.9,655.9,642.45,646.75,644.4,648.43,1023715,663809363.6,20920,453708,44.32
BPCL,EQ,5-Jan-15,644.4,645,649.45,641.3,646,645.65,645.09,1094372,705968891.7,26953,541239,49.46
BPCL,EQ,6-Jan-15,645.65,652.4,655.3,630,640,639.15,644.43,2186835,1409259791,45768,1208954,55.28
BPCL,EQ,7-Jan-15,639.15,637,649.35,637,646,644.95,644.83,1309394,844339016.3,47084,764599,58.39
BPCL,EQ,8-Jan-15,644.95,649,681.9,649,680.4,677.6,669.86,2806699,1880105727,112511,1310850,46.7
BPCL,EQ,9-Jan-15,677.6,684,688,672.5,677.95,679.35,681.47,1679859,1144772572,32895,769063,45.78
BPCL,EQ,12-Jan-15,679.35,685,685,672.3,674.75,676.4,677.63,644574,436782532.2,16987,228554,35.46
BPCL,EQ,13-Jan-15,676.4,680.4,691,663.5,669.75,669.55,677.4,995423,674296721,26876,382452,38.42
BPCL,EQ,14-Jan-15,669.55,675.95,675.95,648.9,652.6,651.7,659.38,1185379,781619958.1,24212,635906,53.65
BPCL,EQ,15-Jan-15,651.7,655.1,668.2,649.35,662.4,662.95,658.84,1968046,1296629668,20539,1339477,68.06
BPCL,EQ,16-Jan-15,662.95,663.25,672.9,655.6,659.5,659.3,662.62,1191208,789318584.9,28809,643292,54
BPCL,EQ,19-Jan-15,659.3,659.25,661.05,642.7,646.25,645.2,649.28,1102884,716076949.3,28058,569707,51.66
BPCL,EQ,20-Jan-15,645.2,646.25,654,643.25,649,647.65,647.18,775545,501916462.3,16703,357225,46.06
BPCL,EQ,21-Jan-15,647.65,648,657.35,643.6,654.2,654.15,649.23,922423,598866648.2,37793,469314,50.88
BPCL,EQ,22-Jan-15,654.15,655,660,644.95,658.45,657.05,654.56,822723,538525430.2,19564,398439,48.43
BPCL,EQ,23-Jan-15,657.05,663.4,682.35,657.55,674,674.75,671.44,1451013,974265675.9,38822,720293,49.64
BPCL,EQ,27-Jan-15,674.75,678.9,694.85,660.8,688.55,692.05,679.58,1934214,1314448456,41505,1011148,52.28
BPCL,EQ,28-Jan-15,692.05,688.85,709.6,685,707,706.25,703.21,1906496,1340675512,63543,942736,49.45
BPCL,EQ,29-Jan-15,706.25,711.25,737.75,707.55,732,733.85,723.69,3233749,2340243577,95192,1552512,48.01
BPCL,EQ,30-Jan-15,733.85,737.5,763.25,731,751,748.85,745.5,2459124,1833264698,61864,1131592,46.02
BPCL,EQ,2-Feb-15,748.85,746,767.3,735.35,748.4,748.65,754.52,1692266,1276840658,41386,786598,46.48
BPCL,EQ,3-Feb-15,748.65,749,756.4,724.35,725.35,727.4,738.43,1631139,1204475452,48378,877448,53.79
BPCL,EQ,4-Feb-15,727.4,725,736,716.25,718.95,721,722.79,1826719,1320335191,43546,1058974,57.97
BPCL,EQ,5-Feb-15,721,724.7,772.8,723,746.15,750,755.01,3108968,2347288182,72045,1236635,39.78
BPCL,EQ,6-Feb-15,750,736,749,726.8,730.5,730.95,735.59,1550662,1140655969,50146,779208,50.25
BPCL,EQ,9-Feb-15,730.95,721,726,706.55,712.85,711.8,713.97,1367892,976633932.6,42488,634530,46.39
BPCL,EQ,10-Feb-15,711.8,705,715.6,689,698.5,698.3,702.81,2447255,1719960721,56929,1329017,54.31
BPCL,EQ,11-Feb-15,698.3,702.4,716.3,694.45,714.65,712.9,706.8,804517,568633155.4,16806,233576,29.03
BPCL,EQ,12-Feb-15,712.9,717.55,722,701.05,703.9,705.85,710.83,712759,506649987.4,19632,258052,36.2
BPCL,EQ,13-Feb-15,705.85,705.8,733.7,693,722.5,724.9,719.17,3667519,2637571869,77055,1146197,31.25
BPCL,EQ,16-Feb-15,724.9,731.9,757.25,721,726.55,725.85,740.99,1997890,1480421885,47530,820713,41.08
BPCL,EQ,18-Feb-15,725.85,727.5,735,721,728.7,729.65,728,687901,500794456.7,21747,221178,32.15
BPCL,EQ,19-Feb-15,729.65,734,747.5,731.8,744,742.2,740.59,1290739,955912892.8,21602,570687,44.21
BPCL,EQ,20-Feb-15,742.2,741.5,745.8,738,743.9,741.8,741.58,732555,543251656.1,15346,340092,46.43
BPCL,EQ,23-Feb-15,741.8,745,754,734.55,740.25,739.65,742.61,738439,548374982.2,15786,402854,54.55
BPCL,EQ,24-Feb-15,739.65,743,759.85,741.9,757.5,757.3,752.4,1230764,926022832.6,36835,550197,44.7
BPCL,EQ,25-Feb-15,757.3,758,772.05,747,748.05,751.85,760.81,1599009,1216539698,39547,871150,54.48
BPCL,EQ,26-Feb-15,751.85,751.85,758.7,741.65,744,745.8,747.61,1435303,1073040180,34890,904109,62.99
BPCL,EQ,27-Feb-15,745.8,749,749.85,730.3,744,744.25,741.16,856930,635119206.3,27267,416224,48.57
BPCL,EQ,28-Feb-15,744.25,748.5,751.15,727,744.3,746.2,743.57,1239757,921851131.4,20563,477262,38.5
